COD_CURSO,NOME_UNIDADE,NUM_VERSAO,DESCR_ESTRUTURA,COD_DISCIPLINA,NOME_DISCIPLINA,COD_PRE_REQ,NOME_PRE_REQ,TIPO_REQUISITO,NUM_REFERENCIA,ITEM_TABELA,ID_ESTRUTURA_CUR,PERIODO_IDEAL

21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CM202,CALCULO DIFERENCIAL E INTEGRAL II,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI166,Metodologia Científica,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CM005,Álgebra Linear,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CM045,Geometria Analítica,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CM046,INTRODUCAO A ALGEBRA,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CM201,CALCULO DIFERENCIAL E INTEGRAL I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CE003,Estatística II,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,2
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,3
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI058,REDE DE COMPUTADORES I,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI058,REDE DE COMPUTADORES I,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI058,REDE DE COMPUTADORES I,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI058,REDE DE COMPUTADORES I,CI166,Metodologia Científica,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI058,REDE DE COMPUTADORES I,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI058,REDE DE COMPUTADORES I,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI058,REDE DE COMPUTADORES I,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI058,REDE DE COMPUTADORES I,CM005,Álgebra Linear,Disciplina,,1,7406,4
